,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
2536,20171127,61.157,65.7024,59.5041,62.8099,2152690,59.90358333333327,61.52895,55.6199,43.62605,40.7025,66.5289,77.03742564172215,60.91694227538594
2537,20171128,64.0496,65.2066,62.8099,62.9752,1786250,60.60605833333327,61.818250000000006,55.6199,43.935975,40.7025,66.9421,77.30466807817895,61.32859382030876
2538,20171129,63.6364,63.6364,62.8926,62.9752,1324620,61.129474999999935,62.603350000000006,55.6199,44.287225,40.7025,66.1157,77.30466807817895,61.65791505624702
2539,20171130,62.9752,63.3884,61.5702,61.5702,1728020,61.53580833333327,63.2645,55.6199,44.3905,40.7025,66.3636,69.34865108166673,61.64037204499761
2540,20171201,61.5702,62.31399999999999,60.9917,61.6529,966230,61.92148333333327,63.47110000000001,56.529,44.101275,40.7025,66.6116,69.54731974676304,61.64287763599809
2541,20171204,62.0661,63.8017,61.5703,62.8926,1716220,62.34848333333327,62.60325,57.31405,44.64875,41.198350000000005,66.7769,72.4318985934071,61.89282210879848
2542,20171205,63.6364,64.8761,58.5124,60.3306,3682370,62.45867499999994,62.1074,57.562050000000006,45.206624999999995,41.6529,66.9421,59.82071857707566,61.580377687038784
2543,20171206,60.8265,60.8265,57.7686,60.3306,2680770,62.231399999999944,61.7355,57.76865000000001,45.330625,41.7769,70.5785,59.82071857707566,61.33042214963103
2544,20171207,59.9174,60.9918,58.6777,59.5041,1010070,61.88704166666661,61.7355,57.89265,45.537225,41.7769,72.0661,56.16221738165308,60.965157719704834
2545,20171208,58.8429,60.7438,57.438,60.3306,1767290,61.680433333333276,61.3223,58.09925,46.177724999999995,42.396699999999996,71.0744,58.87106001320821,60.838246175763864
2546,20171211,59.5042,60.4959,58.6777,59.5041,1057910,61.37051666666661,61.15705,58.51245,46.425675,42.7273,69.4215,55.19787947840296,60.571416940611094
2547,20171212,60.3305,60.4132,57.0248,58.843,1138470,61.14324999999994,60.95045,58.6364,46.549625,43.01655,69.7521,52.38250810724412,60.22573355248888
2548,20171213,59.0909,59.6694,58.5951,59.5041,547600,60.867766666666604,60.95045,59.545500000000004,47.252075,43.8223,69.4215,54.861878770393155,60.08140684199111
2549,20171214,59.4215,59.9173,58.6777,59.5041,477210,60.578508333333275,60.95045,60.7025,48.987625,45.330600000000004,70.2479,54.86187877039316,59.965945473592896
2550,20171215,58.4297,59.2562,57.9339,58.0165,4185530,60.16528333333327,60.95045,60.7025,51.1983,47.5,70.3306,48.298905835720156,59.57605637887432
2551,20171218,59.0082,61.157,59.0082,61.157,1199690,60.130849999999946,59.0909,60.70255,51.3223,47.95455,70.6612,59.353652095416024,59.892245103099455
2552,20171219,61.6529,62.3967,60.5785,60.7438,1006310,60.055091666666605,59.710750000000004,61.52895,51.4256,48.5744,70.6612,57.60831072423723,60.06255608247957
2553,20171220,60.5785,61.0744,59.8347,60.7438,1506770,59.876024999999935,59.710750000000004,61.52895,51.4876,48.5744,70.2479,57.60831072423723,60.19880486598366
2554,20171221,61.0744,62.3967,60.3306,60.3306,1721550,59.876024999999935,59.710750000000004,61.818250000000006,51.900825,48.5744,71.0744,55.70844317384328,60.22516389278693
2555,20171222,60.9091,62.4794,60.6612,62.4793,2254940,60.055083333333265,59.7521,62.23145,52.272724999999994,48.5744,71.5702,62.61331066063422,60.675991114229554
